blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,redWardsPlaced,redWardsDestroyed,redDragons,redHeralds,redTowersDestroyed,redTotalMinionsKilled,redTotalJungleMinionsKilled
0,28,2,1,9,6,0,0,0,195,36,643,15,6,0,0,0,197,55
0,12,1,0,5,5,0,0,0,174,43,-2908,12,1,1,1,1,240,52
0,15,0,0,7,11,1,0,0,186,46,-1172,15,3,0,0,0,203,28
0,43,1,0,4,5,0,1,0,201,55,-1321,15,2,0,0,0,235,47
0,75,4,0,6,6,0,0,0,210,57,-1004,17,2,1,0,0,225,67
1,18,0,0,5,3,1,0,0,225,42,698,36,5,0,0,0,221,59
1,18,3,1,7,6,1,0,0,225,53,2411,57,1,0,0,0,164,35
0,16,2,0,5,13,0,0,0,209,48,-2615,15,0,1,0,0,157,54
0,16,3,0,7,7,0,0,0,189,61,-1979,15,2,1,1,0,240,53
1,13,1,1,4,5,1,0,0,220,39,-1548,16,2,0,0,0,247,43
0,20,3,1,4,4,0,0,0,231,28,331,15,2,1,0,0,216,51
0,33,2,1,11,11,0,1,0,157,40,-1505,17,1,0,0,0,188,52
1,18,1,1,7,1,1,0,0,238,53,3274,12,1,0,0,0,240,50
0,14,3,0,4,9,0,1,0,210,52,-3414,20,3,0,0,0,229,51
1,15,3,1,4,4,0,0,0,224,51,-470,102,1,0,0,0,242,48
0,17,1,0,3,7,0,0,0,209,53,-1996,18,3,0,0,0,237,51
1,14,1,1,10,2,0,0,0,263,56,5228,13,2,1,0,0,210,64
0,43,3,0,3,7,0,1,0,203,54,-1975,17,14,0,0,0,218,53
1,21,4,1,5,4,0,0,0,213,49,882,19,3,1,1,0,228,52
0,11,3,0,5,9,0,0,0,188,48,-3155,15,1,0,0,0,219,56
1,14,3,1,11,6,1,0,0,214,45,2526,12,2,0,0,0,225,48
0,13,1,0,4,13,0,0,0,203,43,-2835,15,3,1,0,0,209,45
0,17,2,0,4,6,0,0,0,238,56,-1254,16,3,1,0,0,231,60
0,78,4,0,4,3,1,1,0,238,67,406,15,3,0,0,0,220,64
1,33,3,0,6,9,0,0,0,208,45,-1020,18,3,0,0,0,197,36
0,17,1,0,4,8,0,0,0,204,44,-2472,19,2,1,0,0,221,36
1,18,1,0,8,6,1,0,0,209,44,1260,10,3,0,0,0,233,36
0,19,3,1,7,4,0,0,0,228,61,1857,14,4,1,0,0,202,49
0,105,5,1,8,6,1,0,0,217,53,1320,65,3,0,0,0,223,40
0,18,5,0,3,8,1,0,0,233,52,-3282,18,3,0,0,0,225,52
