blueWins,blueFirstBlood,blueKills,blueDeaths,blueDragons,blueHeralds,blueTowersDestroyed,blueGoldDiff,redDragons,redHeralds,redTowersDestroyed,blueKDA,redKDA,visionControlDiff,CSDiff
0,1,9,6,0,0,0,643,0,0,0,3.3333333333333335,1.5555555555555556,-2.833333333333333,-21
0,0,5,5,0,0,0,-2908,1,1,1,2.0,1.4,0.0,-75
0,0,7,11,1,0,0,-1172,0,0,0,1.0,3.5714285714285716,-10.0,1
0,0,4,5,0,1,0,-1321,0,0,0,1.8,3.75,6.5,-26
0,0,6,6,0,0,0,-1004,1,0,0,2.0,2.1666666666666665,33.25,-25
1,0,5,3,1,0,0,698,0,0,0,3.6666666666666665,1.0,-32.4,-13
1,1,7,6,1,0,0,2411,0,0,0,2.3333333333333335,2.142857142857143,-1.0,79
0,0,5,13,0,0,0,-2615,1,0,0,0.6153846153846154,4.8,8.5,46
0,0,7,7,0,0,0,-1979,1,1,0,2.142857142857143,1.7142857142857142,3.0,-43
1,1,4,5,1,0,0,-1548,0,0,0,1.8,2.25,-9.5,-31
0,1,4,4,0,0,0,331,1,0,0,2.5,2.25,5.0,-8
0,1,11,11,0,1,0,-1505,0,0,0,1.6363636363636365,1.8181818181818181,24.5,-43
1,1,7,1,1,0,0,3274,0,0,0,18.0,0.2857142857142857,6.0,1
0,0,4,9,0,1,0,-3414,0,0,0,0.5555555555555556,5.0,-2.0,-18
1,1,4,4,0,0,0,-470,0,0,0,2.0,1.75,-19.0,-15
0,0,3,7,0,0,0,-1996,0,0,0,0.8571428571428571,6.666666666666667,-12.333333333333332,-26
1,1,10,2,0,0,0,5228,1,0,0,9.0,0.4,-6.0,45
0,0,3,7,0,1,0,-1975,0,0,0,0.8571428571428571,4.333333333333333,-2.5952380952380953,-14
1,1,5,4,0,0,0,882,1,1,0,4.0,1.4,2.25,-18
0,0,5,9,0,0,0,-3155,0,0,0,1.1111111111111112,3.6,6.0,-39
1,1,11,6,1,0,0,2526,0,0,0,4.333333333333333,0.9090909090909091,3.0,-14
